EI,WI,EC,WC,EA,WA,AM,LC,MC,ND,PfW,SE,E,A,C,N,O,Test-1,Test-2,Test-3,BXI,CXI,TXI,Composite,Final Label
5.0,6.0,3.0,5.0,4.0,5.0,0.33,2.5,5.0,4.0,5.0,4.5,18.0,21.0,37.0,33.0,28.0,56,52,48,164,160,130.0,81.73825085589793,2
8.0,9.0,8.0,8.0,9.0,7.0,5.0,2.5,5.0,5.0,5.0,5.0,19.0,30.0,35.0,30.0,29.0,40,56,46,136,126,100.0,34.25147836912543,0
8.0,9.0,7.0,8.0,9.0,6.0,5.0,2.5,5.0,5.0,5.0,5.0,16.0,31.0,34.0,30.0,30.0,46,56,44,148,136,112.0,51.851851851851855,1
8.0,9.0,7.0,7.0,9.0,6.0,5.0,2.5,5.0,5.0,5.0,5.0,21.0,29.0,35.0,30.0,30.0,50,56,46,156,146,120.0,65.21942110177405,1
6.0,7.0,7.0,8.0,6.0,4.0,0.67,0.0,4.75,2.0,4.33,3.5,15.0,25.0,23.0,16.0,25.0,56,46,46,158,158,130.0,77.98008092125738,2
3.0,0.0,1.0,1.0,6.0,6.0,4.33,-1.5,2.5,0.0,5.0,5.0,17.0,29.0,36.0,30.0,20.0,46,48,48,140,140,112.0,50.10893246187364,1
7.0,8.0,8.0,6.0,6.0,5.0,3.0,0.5,4.0,4.0,4.33,4.5,22.0,26.0,29.0,28.0,32.0,52,54,44,158,148,121.0,67.7209772798008,1
6.0,7.0,8.0,6.0,8.0,4.0,2.33,-1.0,2.75,-2.0,3.0,2.5,16.0,26.0,27.0,20.0,23.0,54,40,48,148,156,125.0,69.39386865857455,1
7.0,7.0,3.0,3.0,4.0,5.0,1.0,-1.5,5.0,2.0,5.0,4.0,19.0,25.0,36.0,28.0,25.0,56,48,48,160,160,130.0,79.88639900404607,2
7.0,8.0,8.0,8.0,9.0,8.0,2.67,-0.5,3.5,5.0,4.33,3.5,24.0,22.0,35.0,26.0,29.0,44,50,46,138,134,107.0,43.265639589169,1
8.0,9.0,8.0,7.0,7.0,4.0,1.67,1.25,4.5,5.0,5.0,4.75,31.0,26.0,32.0,29.0,27.0,46,52,44,144,136,110.0,48.80952380952382,1
7.0,7.0,5.0,8.0,4.0,1.0,1.67,-0.5,5.0,4.0,5.0,2.5,23.0,25.0,32.0,8.0,24.0,52,48,48,152,152,122.0,67.49922191098662,1
4.0,3.0,5.0,8.0,3.0,1.0,0.33,-0.5,1.0,3.0,1.0,3.0,19.0,24.0,24.0,15.0,24.0,44,40,46,128,134,104.0,36.85029567382509,0
7.0,2.0,6.0,1.0,8.0,4.0,5.0,2.5,5.0,5.0,4.33,5.0,28.0,20.0,30.0,32.0,25.0,52,56,44,160,148,124.0,70.43261749144102,1
6.0,7.0,3.0,5.0,8.0,5.0,5.0,2.5,5.0,5.0,5.0,5.0,26.0,29.0,38.0,35.0,29.0,56,56,46,168,158,132.0,83.80018674136322,2
4.0,6.0,5.0,9.0,7.0,7.0,4.33,0.5,5.0,-5.0,3.67,0.5,21.0,31.0,32.0,25.0,28.0,50,46,46,146,146,119.0,59.994553376906325,1
4.0,3.0,4.0,5.0,3.0,5.0,3.67,2.0,3.5,1.5,3.67,3.0,21.0,25.0,28.0,22.0,26.0,52,44,48,148,152,122.0,65.64737005913477,1
5.0,6.0,1.0,4.0,7.0,6.0,5.0,2.5,5.0,-3.0,5.0,2.75,29.0,28.0,30.0,28.0,26.0,52,50,44,154,148,124.0,67.65483971366325,1
5.0,0.0,4.0,4.0,3.0,3.0,1.67,3.75,2.5,5.0,3.33,1.25,20.0,25.0,28.0,27.0,34.0,46,44,44,136,136,107.0,43.320105820105816,1
8.0,9.0,8.0,7.0,9.0,7.0,5.0,2.5,5.0,5.0,5.0,5.0,17.0,28.0,33.0,30.0,28.0,44,56,46,144,134,108.0,46.63865546218487,1
5.0,8.0,4.0,5.0,5.0,3.0,2.33,0.5,3.0,2.0,3.67,3.0,30.0,23.0,30.0,22.0,23.0,50,42,46,142,146,117.0,56.95222533457829,1
9.0,9.0,9.0,7.0,7.0,5.0,2.33,0.75,5.0,5.0,4.33,5.0,24.0,26.0,25.0,14.0,28.0,46,52,46,144,138,110.0,49.78991596638656,1
9.0,7.0,5.0,4.0,7.0,8.0,2.33,5.0,5.0,4.0,5.0,4.5,19.0,33.0,36.0,21.0,27.0,52,56,48,160,152,122.0,71.20292561469034,1
6.0,4.0,2.0,3.0,8.0,4.0,3.0,1.25,4.0,4.0,5.0,4.5,25.0,31.0,34.0,36.0,27.0,52,54,44,158,148,123.0,68.91145347027701,1
8.0,9.0,7.0,7.0,9.0,8.0,2.67,2.0,4.5,3.0,5.0,4.25,32.0,32.0,36.0,37.0,31.0,48,52,42,148,138,113.0,53.4274821039527,1
8.0,7.0,8.0,9.0,6.0,4.0,4.33,1.0,4.5,4.0,4.33,4.0,17.0,32.0,33.0,18.0,31.0,48,56,44,152,140,114.0,56.8549642079054,1
8.0,8.0,8.0,0.0,9.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,25.0,30.0,36.0,32.0,31.0,42,60,46,144,130,102.0,41.10644257703082,1
4.0,2.0,1.0,4.0,8.0,4.0,3.67,-0.25,3.0,1.5,4.33,2.5,25.0,32.0,29.0,22.0,22.0,50,44,46,144,146,119.0,59.068627450980394,1
6.0,8.0,7.0,5.0,6.0,5.0,1.67,2.0,4.5,3.0,4.33,4.5,23.0,23.0,28.0,26.0,25.0,56,50,46,162,158,130.0,79.83193277310924,2
9.0,8.0,6.0,5.0,9.0,6.0,3.33,3.5,5.0,4.5,5.0,5.0,28.0,32.0,36.0,31.0,32.0,50,56,42,156,142,117.0,61.47292250233428,1
8.0,5.0,8.0,8.0,8.0,6.0,1.67,0.75,1.75,3.0,3.0,1.5,20.0,25.0,29.0,28.0,22.0,44,40,46,128,134,105.0,37.44553376906318,0
8.0,2.0,5.0,3.0,9.0,6.0,5.0,2.5,5.0,4.0,5.0,5.0,29.0,28.0,38.0,37.0,30.0,50,56,46,156,146,120.0,65.21942110177405,1
6.0,7.0,4.0,2.0,7.0,7.0,5.0,-0.5,4.0,4.0,4.33,4.5,23.0,27.0,33.0,27.0,22.0,54,56,46,164,154,128.0,77.60659819483348,2
7.0,3.0,3.0,5.0,7.0,4.0,2.67,1.5,5.0,5.0,4.33,3.0,22.0,23.0,35.0,28.0,26.0,54,52,46,160,154,127.0,75.15950824774355,2
7.0,8.0,9.0,5.0,8.0,6.0,4.33,1.0,4.5,5.0,5.0,3.0,24.0,29.0,37.0,29.0,29.0,50,54,48,154,148,120.0,65.27388733271087,1
4.0,4.0,4.0,6.0,2.0,4.0,1.0,-0.5,2.75,1.0,4.33,3.5,21.0,21.0,31.0,23.0,29.0,52,44,48,148,152,122.0,65.64737005913477,1
4.0,1.0,5.0,7.0,0.0,1.0,-1.0,0.25,-1.75,-4.5,-1.33,-5.0,21.0,17.0,18.0,25.0,17.0,46,36,46,128,138,108.0,41.192032368502964,1
6.0,5.0,8.0,8.0,5.0,2.0,-1.67,-0.25,-1.75,-4.0,-1.0,-4.0,17.0,20.0,20.0,20.0,19.0,46,36,46,128,138,108.0,41.192032368502964,1
5.0,2.0,5.0,5.0,1.0,1.0,-1.67,-1.0,-3.5,-0.5,-2.33,-3.0,17.0,19.0,18.0,27.0,20.0,48,36,44,132,140,112.0,46.40522875816993,1
5.0,2.0,4.0,6.0,0.0,0.0,0.33,0.5,0.5,-2.5,3.67,-0.5,17.0,24.0,20.0,27.0,24.0,48,38,44,134,140,113.0,47.926392779333966,1
4.0,0.0,5.0,4.0,1.0,1.0,-2.33,-0.25,0.0,-5.0,-4.33,-4.5,20.0,20.0,20.0,18.0,20.0,46,36,46,128,138,108.0,41.192032368502964,1
4.0,3.0,4.0,6.0,0.0,1.0,-2.0,0.0,-2.25,-4.5,1.33,-2.25,20.0,25.0,22.0,22.0,15.0,48,36,46,132,142,112.0,47.38562091503268,1
3.0,1.0,6.0,7.0,2.0,0.0,2.0,0.5,2.25,0.0,-1.0,-1.75,20.0,21.0,23.0,22.0,21.0,46,36,46,128,138,108.0,41.192032368502964,1
7.0,6.0,5.0,9.0,6.0,5.0,1.67,-2.0,5.0,5.0,5.0,4.5,17.0,24.0,21.0,14.0,25.0,56,52,46,164,158,130.0,80.75785869903518,2
4.0,2.0,7.0,8.0,6.0,2.0,1.67,-0.25,-0.5,4.0,1.0,1.25,24.0,16.0,22.0,7.0,20.0,48,40,46,136,142,112.0,49.23747276688454,1
7.0,5.0,5.0,7.0,4.0,4.0,1.0,0.0,3.0,3.0,1.67,3.5,20.0,22.0,22.0,14.0,24.0,58,42,46,158,162,132.0,81.13134142545907,2
5.0,5.0,5.0,7.0,7.0,3.0,0.33,0.75,-2.75,-3.0,-2.0,-2.0,21.0,26.0,16.0,22.0,33.0,50,36,44,136,144,114.0,51.40834111422347,1
2.0,1.0,2.0,3.0,2.0,4.0,1.0,2.5,3.5,-1.0,2.0,1.25,16.0,16.0,24.0,23.0,29.0,46,38,46,130,138,108.0,42.11795829442888,1
5.0,4.0,9.0,7.0,6.0,5.0,-0.67,0.0,-2.5,-5.0,-5.0,-3.25,16.0,18.0,25.0,26.0,13.0,52,36,44,140,148,120.0,58.79240585122938,1
1.0,0.0,0.0,1.0,3.0,3.0,-0.33,-0.25,2.0,1.0,3.33,-1.75,19.0,22.0,23.0,10.0,25.0,36,38,46,110,118,89.0,11.745253657018365,0
2.0,0.0,4.0,7.0,0.0,0.0,-1.0,0.25,1.5,-1.0,0.67,-0.25,22.0,20.0,19.0,17.0,17.0,46,36,46,128,138,108.0,41.192032368502964,1
4.0,3.0,4.0,6.0,3.0,2.0,-0.33,0.0,-1.0,-1.5,-0.33,-0.75,20.0,15.0,13.0,16.0,21.0,48,36,46,132,142,112.0,47.38562091503268,1
0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,3.75,-0.5,1.67,3.5,16.0,16.0,16.0,28.0,12.0,38,40,44,116,120,92.0,17.28913787737317,0
4.0,5.0,6.0,9.0,3.0,1.0,-0.67,2.0,-0.75,-3.0,-1.67,-3.0,19.0,21.0,22.0,16.0,21.0,44,36,46,124,134,104.0,34.99844382197324,0
7.0,7.0,7.0,9.0,6.0,3.0,-1.67,0.5,-0.5,-2.0,1.67,-0.5,20.0,24.0,20.0,16.0,23.0,52,36,46,140,150,120.0,59.772798008092124,1
9.0,7.0,8.0,9.0,8.0,4.0,-0.33,0.0,4.5,4.0,5.0,4.0,19.0,21.0,22.0,16.0,24.0,46,52,46,144,138,110.0,49.78991596638656,1
4.0,2.0,2.0,4.0,1.0,2.0,3.0,-0.5,3.5,5.0,-1.0,-1.0,19.0,23.0,23.0,13.0,23.0,46,44,46,136,138,109.0,45.49097416744476,1
6.0,4.0,6.0,4.0,2.0,3.0,0.0,-2.25,-2.25,-1.0,-0.67,-2.25,27.0,26.0,12.0,20.0,25.0,50,36,44,136,144,116.0,52.59881730469966,1
4.0,1.0,4.0,5.0,1.0,0.0,-4.0,-3.25,-4.25,-5.0,-4.0,-1.75,18.0,21.0,18.0,20.0,19.0,46,36,46,128,138,108.0,41.192032368502964,1
3.0,0.0,2.0,4.0,1.0,0.0,1.0,-1.75,1.5,1.5,0.67,1.0,17.0,17.0,19.0,25.0,18.0,44,36,46,124,134,104.0,34.99844382197324,0
6.0,2.0,6.0,6.0,3.0,2.0,0.0,0.25,2.0,1.5,1.67,1.75,19.0,23.0,20.0,18.0,18.0,50,36,46,136,146,116.0,53.57920946156241,1
3.0,3.0,2.0,7.0,3.0,5.0,1.0,0.5,-1.5,0.0,-1.67,-0.75,23.0,21.0,26.0,23.0,17.0,50,36,48,136,148,116.0,54.55960161842515,1
2.0,0.0,4.0,3.0,1.0,0.0,-0.33,-0.75,-1.0,-1.0,-3.33,-2.75,24.0,21.0,20.0,16.0,24.0,44,36,46,124,134,104.0,34.99844382197324,0
5.0,3.0,5.0,9.0,3.0,1.0,1.0,-1.75,-2.75,-4.5,-2.33,-3.75,17.0,23.0,23.0,21.0,20.0,44,36,46,124,134,104.0,34.99844382197324,0
3.0,1.0,2.0,8.0,2.0,6.0,1.67,0.25,3.75,0.0,3.0,-2.0,22.0,16.0,21.0,15.0,19.0,44,40,46,128,134,105.0,37.44553376906318,0
6.0,2.0,5.0,9.0,2.0,1.0,-4.67,-3.0,-3.75,-3.0,-1.0,-2.5,26.0,21.0,21.0,19.0,21.0,46,36,44,128,136,108.0,40.211640211640216,1
3.0,3.0,7.0,6.0,2.0,4.0,0.33,1.25,2.5,4.0,3.67,5.0,15.0,22.0,32.0,20.0,22.0,52,46,48,150,152,121.0,65.97805788982261,1
4.0,3.0,3.0,9.0,7.0,3.0,1.67,0.75,2.5,1.5,3.0,2.5,12.0,16.0,32.0,20.0,27.0,44,38,48,126,136,105.0,37.5,0
4.0,4.0,4.0,8.0,5.0,7.0,-3.0,-1.0,2.0,4.0,-1.67,-1.0,27.0,22.0,16.0,11.0,8.0,50,40,44,140,144,116.0,54.45066915655151,1
6.0,4.0,4.0,7.0,6.0,2.0,2.33,0.0,3.5,0.0,1.67,1.0,19.0,28.0,27.0,24.0,22.0,54,38,48,146,156,124.0,67.87270463741052,1
5.0,2.0,7.0,8.0,2.0,2.0,1.0,0.5,-1.25,-3.0,-1.67,-1.5,21.0,18.0,17.0,24.0,19.0,44,36,46,124,134,104.0,34.99844382197324,0
7.0,4.0,8.0,8.0,5.0,3.0,-3.0,-1.25,-1.5,-3.5,-3.33,-3.75,16.0,16.0,20.0,23.0,22.0,46,36,46,128,138,108.0,41.192032368502964,1
6.0,0.0,2.0,5.0,1.0,0.0,-1.67,0.75,-1.5,-4.0,-1.67,-2.5,15.0,18.0,17.0,23.0,16.0,46,36,46,128,138,108.0,41.192032368502964,1
7.0,5.0,7.0,6.0,5.0,3.0,-1.0,0.5,4.0,2.5,4.33,2.5,20.0,21.0,21.0,21.0,25.0,54,44,46,152,154,126.0,70.86056644880175,1
8.0,7.0,8.0,5.0,8.0,4.0,3.67,0.0,4.5,5.0,5.0,4.5,23.0,28.0,24.0,27.0,20.0,50,54,44,154,144,119.0,62.71786492374728,1
2.0,1.0,4.0,6.0,1.0,3.0,-1.0,-0.5,0.5,0.0,-0.33,0.5,21.0,19.0,20.0,19.0,19.0,46,36,46,128,138,108.0,41.192032368502964,1
4.0,1.0,5.0,7.0,2.0,1.0,0.33,0.0,1.5,0.5,0.33,1.0,18.0,21.0,22.0,22.0,18.0,46,36,46,128,138,108.0,41.192032368502964,1
1.0,2.0,1.0,1.0,3.0,3.0,0.67,-2.0,-3.0,-3.5,-4.0,-2.0,19.0,16.0,21.0,27.0,11.0,38,36,44,112,120,92.0,15.437286025521319,0
1.0,5.0,4.0,7.0,4.0,3.0,0.0,-1.25,0.5,0.0,2.67,0.0,15.0,24.0,25.0,20.0,20.0,50,38,46,138,146,117.0,55.100373482726425,1
4.0,1.0,3.0,4.0,2.0,1.0,0.67,-0.25,1.25,1.0,1.0,1.5,19.0,23.0,19.0,28.0,18.0,44,36,44,124,132,104.0,34.01805166511049,0
8.0,6.0,8.0,8.0,5.0,5.0,-1.67,-0.75,5.0,5.0,3.33,5.0,20.0,27.0,27.0,11.0,28.0,48,50,48,146,144,113.0,55.442732648615,1
6.0,5.0,6.0,7.0,6.0,2.0,3.0,0.0,0.5,5.0,2.33,4.0,16.0,16.0,29.0,17.0,24.0,54,46,48,154,156,125.0,72.17164643635232,1
2.0,0.0,2.0,3.0,2.0,0.0,1.0,0.25,-0.75,-0.5,1.0,-0.5,19.0,18.0,17.0,22.0,18.0,42,36,46,120,130,100.0,28.80485527544351,0
3.0,2.0,5.0,7.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.5,16.0,17.0,24.0,17.0,20.0,48,36,46,132,142,112.0,47.38562091503268,1
2.0,1.0,2.0,5.0,1.0,0.0,-0.33,-0.5,-0.25,-1.0,-0.33,0.25,15.0,17.0,17.0,23.0,22.0,44,36,46,124,134,104.0,34.99844382197324,0
4.0,6.0,4.0,7.0,1.0,5.0,-3.0,-1.0,1.75,3.0,-0.67,-0.75,18.0,26.0,21.0,17.0,25.0,54,38,46,146,154,124.0,66.89231248054777,1
3.0,3.0,5.0,7.0,0.0,1.0,-0.67,-0.25,1.0,0.5,2.33,1.25,16.0,18.0,15.0,21.0,21.0,48,36,46,132,142,112.0,47.38562091503268,1
4.0,4.0,6.0,8.0,6.0,1.0,1.67,0.75,1.75,-0.5,1.67,0.75,23.0,21.0,18.0,14.0,23.0,48,36,46,132,142,112.0,47.38562091503268,1
7.0,1.0,7.0,9.0,4.0,2.0,2.0,2.0,2.25,2.0,2.67,1.75,14.0,25.0,18.0,21.0,27.0,48,38,46,134,142,113.0,48.90678493619671,1
2.0,4.0,5.0,4.0,6.0,1.0,-1.33,0.0,-0.5,3.0,0.33,0.25,7.0,20.0,30.0,16.0,25.0,52,38,48,142,152,120.0,61.679116090880804,1
3.0,1.0,1.0,8.0,2.0,0.0,0.67,-0.5,0.25,1.0,0.0,0.75,18.0,20.0,21.0,21.0,25.0,38,36,46,112,122,92.0,16.417678182384066,0
2.0,5.0,3.0,4.0,3.0,2.0,0.0,-1.0,-0.25,-1.0,1.67,0.0,20.0,15.0,14.0,19.0,18.0,46,36,46,128,138,108.0,41.192032368502964,1
7.0,9.0,9.0,9.0,6.0,4.0,1.67,0.0,4.75,4.0,4.33,5.0,20.0,21.0,22.0,14.0,25.0,48,52,46,148,142,114.0,55.98350451291628,1
4.0,1.0,3.0,6.0,3.0,3.0,0.0,1.5,1.0,-0.5,0.67,0.5,22.0,20.0,14.0,27.0,17.0,44,36,44,124,132,104.0,34.01805166511049,0
4.0,1.0,5.0,8.0,0.0,1.0,1.0,0.75,0.0,-0.5,0.0,0.75,17.0,18.0,21.0,21.0,21.0,42,36,46,120,130,100.0,28.80485527544351,0
3.0,1.0,2.0,3.0,1.0,3.0,0.33,-0.75,1.5,0.0,0.33,1.0,22.0,16.0,20.0,21.0,18.0,42,36,46,120,130,100.0,28.80485527544351,0
9.0,9.0,9.0,9.0,6.0,5.0,1.67,-0.5,4.5,5.0,5.0,5.0,21.0,25.0,24.0,8.0,28.0,44,52,46,140,134,106.0,43.596327419856834,1
0.0,2.0,1.0,1.0,4.0,4.0,-1.0,0.0,-3.25,-3.0,-0.33,-1.75,16.0,20.0,16.0,28.0,20.0,46,36,44,128,136,108.0,40.211640211640216,1
1.0,1.0,1.0,0.0,3.0,4.0,2.0,-0.5,-2.5,-3.0,0.0,-4.0,20.0,15.0,22.0,35.0,11.0,40,36,44,116,124,96.0,21.630874572051045,0
4.0,2.0,6.0,7.0,1.0,0.0,-0.67,-0.25,0.25,-0.5,-0.33,-0.5,21.0,17.0,18.0,23.0,16.0,48,36,46,132,142,112.0,47.38562091503268,1
3.0,1.0,4.0,5.0,1.0,1.0,-1.67,-1.0,1.25,1.0,1.33,0.75,21.0,21.0,20.0,15.0,26.0,46,36,46,128,138,108.0,41.192032368502964,1
3.0,1.0,5.0,5.0,1.0,0.0,0.0,1.25,0.75,1.0,0.67,0.5,26.0,16.0,17.0,18.0,19.0,46,36,44,128,136,108.0,40.211640211640216,1
7.0,9.0,8.0,4.0,6.0,4.0,1.0,0.0,5.0,5.0,4.33,5.0,20.0,25.0,22.0,16.0,21.0,52,52,46,156,150,122.0,68.37068160597572,1
6.0,1.0,4.0,8.0,4.0,2.0,1.0,0.0,2.0,0.5,2.33,1.5,21.0,25.0,24.0,13.0,19.0,48,36,46,132,142,112.0,47.38562091503268,1
6.0,5.0,5.0,9.0,2.0,4.0,1.0,0.25,1.75,1.5,4.0,4.75,20.0,25.0,25.0,12.0,18.0,50,44,46,144,146,118.0,58.4733893557423,1
7.0,7.0,9.0,5.0,7.0,7.0,3.0,0.0,4.0,4.0,5.0,4.5,17.0,29.0,32.0,14.0,24.0,52,54,48,158,152,123.0,70.8722377840025,1
4.0,2.0,4.0,5.0,2.0,1.0,1.33,-2.5,1.25,1.0,2.33,0.5,16.0,24.0,20.0,20.0,20.0,48,36,46,132,142,112.0,47.38562091503268,1
5.0,1.0,2.0,5.0,2.0,1.0,-2.0,1.5,1.0,-3.5,1.67,3.5,20.0,27.0,12.0,22.0,15.0,44,38,46,126,134,104.0,35.92436974789916,0
6.0,5.0,4.0,9.0,3.0,2.0,-1.0,0.75,3.25,1.5,1.33,0.75,18.0,16.0,24.0,14.0,30.0,46,38,46,130,138,108.0,42.11795829442888,1
7.0,6.0,8.0,9.0,6.0,4.0,0.33,1.5,2.5,5.0,2.33,2.5,21.0,26.0,25.0,12.0,27.0,52,40,46,144,150,120.0,61.624649859943986,1
2.0,0.0,2.0,1.0,3.0,4.0,-1.33,1.5,-2.0,-3.0,-1.67,-3.0,23.0,14.0,23.0,27.0,14.0,44,36,44,124,132,104.0,34.01805166511049,0
5.0,3.0,5.0,9.0,4.0,1.0,0.0,-0.75,0.75,0.5,0.67,0.75,21.0,23.0,16.0,16.0,21.0,48,36,46,132,142,112.0,47.38562091503268,1
3.0,2.0,3.0,7.0,2.0,2.0,-0.67,0.25,0.5,-0.5,0.33,-0.25,17.0,20.0,20.0,25.0,18.0,46,36,46,128,138,108.0,41.192032368502964,1
9.0,7.0,8.0,7.0,8.0,5.0,5.0,1.5,4.5,4.0,5.0,3.0,20.0,21.0,33.0,32.0,28.0,50,54,46,154,146,120.0,64.29349517584812,1
9.0,9.0,8.0,9.0,7.0,4.0,-1.0,0.25,5.0,0.0,5.0,5.0,24.0,20.0,28.0,8.0,28.0,42,48,48,132,132,102.0,36.531279178338,0
8.0,7.0,9.0,9.0,6.0,1.0,0.33,2.0,3.5,2.0,1.67,4.5,19.0,17.0,22.0,10.0,23.0,44,42,46,130,134,104.0,37.77622159975101,0
2.0,0.0,3.0,7.0,1.0,0.0,-1.0,-0.25,0.5,1.0,0.33,-0.25,21.0,23.0,19.0,21.0,20.0,44,36,46,124,134,104.0,34.99844382197324,0
4.0,4.0,6.0,9.0,2.0,1.0,0.0,0.5,1.25,2.0,2.33,2.5,22.0,20.0,19.0,18.0,19.0,44,36,46,124,134,104.0,34.99844382197324,0
8.0,3.0,5.0,6.0,9.0,6.0,1.67,2.5,5.0,-5.0,5.0,5.0,15.0,24.0,28.0,32.0,22.0,52,48,46,152,150,122.0,66.51882975412389,1
5.0,2.0,5.0,6.0,1.0,1.0,0.67,-0.5,1.0,0.5,0.67,0.75,18.0,17.0,23.0,21.0,19.0,48,36,46,132,142,112.0,47.38562091503268,1
7.0,6.0,7.0,6.0,6.0,5.0,1.0,0.25,2.75,4.0,4.33,2.5,19.0,24.0,26.0,11.0,26.0,60,46,48,166,168,138.0,91.3476501711796,2
6.0,5.0,6.0,8.0,1.0,4.0,0.33,-0.75,-0.25,1.5,0.0,3.5,15.0,22.0,25.0,25.0,15.0,50,38,46,138,146,116.0,54.50513538748833,1
8.0,7.0,6.0,3.0,8.0,5.0,3.67,0.75,5.0,4.5,4.67,4.5,19.0,22.0,35.0,33.0,24.0,52,54,46,158,150,123.0,69.89184562713976,1
8.0,9.0,8.0,8.0,6.0,5.0,2.33,-0.5,4.5,5.0,3.67,4.0,20.0,25.0,25.0,11.0,26.0,44,50,46,138,134,105.0,42.075163398692816,1
4.0,0.0,4.0,8.0,2.0,0.0,0.67,-0.25,0.25,0.5,0.67,0.75,22.0,16.0,19.0,20.0,18.0,42,36,46,120,130,100.0,28.80485527544351,0
5.0,0.0,3.0,6.0,2.0,1.0,0.67,-0.25,0.25,0.0,2.33,0.0,18.0,22.0,21.0,21.0,20.0,44,36,46,124,134,104.0,34.99844382197324,0
8.0,8.0,6.0,4.0,7.0,7.0,4.33,-0.5,5.0,4.0,4.33,4.5,28.0,31.0,36.0,29.0,29.0,48,56,44,152,140,116.0,58.04544039838158,1
7.0,7.0,9.0,9.0,6.0,4.0,1.0,0.0,3.0,3.0,3.0,3.5,19.0,21.0,22.0,14.0,24.0,52,44,46,148,150,121.0,64.07173980703392,1
4.0,0.0,5.0,9.0,0.0,0.0,0.33,-0.5,1.0,0.5,1.0,1.0,21.0,20.0,21.0,20.0,20.0,42,36,46,120,130,100.0,28.80485527544351,0
5.0,1.0,5.0,8.0,2.0,2.0,-0.33,-0.25,0.25,0.0,1.33,0.75,19.0,23.0,24.0,21.0,20.0,42,36,46,120,130,100.0,28.80485527544351,0
3.0,1.0,5.0,6.0,1.0,0.0,1.0,0.75,0.25,1.0,1.0,1.5,24.0,19.0,18.0,22.0,21.0,46,36,46,128,138,108.0,41.192032368502964,1
3.0,3.0,7.0,9.0,2.0,1.0,2.33,0.5,1.75,2.0,0.33,2.0,25.0,22.0,28.0,15.0,23.0,44,36,48,124,136,104.0,35.97883597883598,0
4.0,3.0,3.0,3.0,5.0,2.0,0.33,-0.25,-0.75,1.5,1.33,-0.5,22.0,9.0,20.0,20.0,20.0,48,36,46,132,142,112.0,47.38562091503268,1
4.0,0.0,5.0,8.0,0.0,0.0,0.33,0.75,1.0,1.0,0.67,1.0,20.0,20.0,20.0,20.0,21.0,42,36,46,120,130,100.0,28.80485527544351,0
5.0,5.0,5.0,8.0,5.0,5.0,2.0,-1.25,1.5,4.0,3.0,0.0,16.0,25.0,25.0,8.0,29.0,52,42,46,146,150,121.0,63.145813881108,1
2.0,1.0,6.0,4.0,0.0,2.0,2.33,-1.75,-0.5,-2.0,0.67,0.75,26.0,18.0,20.0,24.0,18.0,46,36,44,128,136,108.0,40.211640211640216,1
3.0,2.0,2.0,4.0,2.0,1.0,0.33,-0.25,1.5,-1.0,0.0,0.5,16.0,20.0,14.0,23.0,13.0,46,36,46,128,138,108.0,41.192032368502964,1
3.0,0.0,3.0,8.0,1.0,0.0,0.33,0.0,1.0,0.0,1.67,0.75,18.0,21.0,20.0,19.0,16.0,40,36,46,116,126,96.0,22.61126672891379,0
4.0,1.0,2.0,4.0,5.0,0.0,2.0,2.0,-0.25,1.0,1.0,0.25,22.0,23.0,15.0,16.0,22.0,48,36,46,132,142,112.0,47.38562091503268,1
4.0,4.0,5.0,7.0,1.0,2.0,0.33,1.5,-2.25,-1.5,-0.33,0.25,13.0,22.0,24.0,22.0,17.0,48,36,46,132,142,112.0,47.38562091503268,1
4.0,1.0,3.0,6.0,1.0,1.0,1.0,0.75,2.0,-1.0,0.0,0.0,17.0,13.0,24.0,22.0,24.0,44,36,46,124,134,104.0,34.99844382197324,0
4.0,6.0,9.0,9.0,3.0,2.0,2.33,-0.5,-1.0,3.0,1.67,0.5,15.0,18.0,23.0,21.0,25.0,42,38,46,122,130,100.0,29.730781201369435,0
8.0,6.0,9.0,8.0,7.0,5.0,1.67,0.5,3.5,4.0,3.67,3.5,21.0,27.0,21.0,14.0,26.0,46,46,46,138,138,109.0,46.416900093370685,1
6.0,5.0,7.0,6.0,1.0,1.0,0.0,0.5,2.25,0.0,1.33,3.0,23.0,17.0,18.0,15.0,23.0,50,38,46,138,146,116.0,54.50513538748833,1
3.0,2.0,3.0,5.0,3.0,1.0,-1.0,1.5,-2.0,3.0,0.33,0.25,18.0,19.0,25.0,22.0,14.0,46,38,46,130,138,108.0,42.11795829442888,1
4.0,2.0,2.0,6.0,2.0,1.0,0.33,-0.75,2.0,3.0,1.67,0.5,19.0,21.0,22.0,22.0,26.0,46,38,46,130,138,108.0,42.11795829442888,1
5.0,1.0,6.0,9.0,0.0,2.0,1.33,0.0,1.25,1.5,1.0,1.25,23.0,22.0,20.0,18.0,23.0,42,36,46,120,130,100.0,28.80485527544351,0
5.0,3.0,5.0,5.0,2.0,6.0,3.67,-0.5,0.5,1.0,0.33,0.75,26.0,28.0,14.0,19.0,16.0,52,38,44,142,148,121.0,60.3135698723934,1
